infrastructure_scenario,funding_scenario,year,months_in_year,first_month_id,last_month_id,workplace_revenue,contact_center_revenue,total_revenue,cogs,sga,depreciation_and_amortization,ebit,profit_tax,net_income,operating_cash_flow,investing_cash_flow,pre_financing_cash_flow,funding_need,equity_injection,revolver_drawdown,revolver_repayment,interest_expense,ebt_after_interest,profit_tax_after_interest,net_income_after_interest,operating_cash_flow_after_interest,free_cash_flow_after_financing_costs,required_gpu,opening_cash_before_funding,closing_cash_before_funding,closing_cash_after_funding,cash,net_ppe,net_intangible_assets,total_assets,total_liabilities,total_equity,revolver_balance,closing_revolver_balance,paid_in_capital,retained_earnings,balance_check
rent_gpu_only,mix,2026,3,2026-10,2026-12,0.0,0.0,0.0,95846400.0,25506000.0,0.0,-121352400.0,0.0,-121352400.0,-121352400.0,0.0,-121352400.0,163133636.9,81566818.46,81566818.46,0.0,2667116.64,-124019516.64,0.0,-124019516.64,-124019516.64,-124019516.64,24.0,-80901600.0,-121352400.0,39114120.26,39114120.26,0.0,0.0,39114120.26,81566818.45,-42452698.2,81566818.45,81566818.45,81566818.45,-124019516.65,0.0
rent_gpu_only,mix,2027,12,2027-01,2027-12,433862834.01,202161645.99,636024480.0,651373632.0,102024000.0,0.0,-117373152.0,12671724.0,-130044876.0,-130044876.0,0.0,-130044876.0,197659129.12,98829564.56,98829564.56,5093703.36,37415333.02,-154788485.02,5141804.56,-159930289.6,-159930289.6,-159930289.6,91.3,-256087104.0,-251397276.0,64219337.0,64219337.0,0.0,0.0,64219337.0,175302679.65,-103553423.22,175302679.65,175302679.65,180396383.02,-283949806.24,-7529919.43
rent_gpu_only,mix,2028,12,2028-01,2028-12,890420598.78,287639484.42,1178060083.2,883545062.4,102024000.0,0.0,192491020.8,48122755.2,144368265.6,144368265.6,0.0,144368265.6,3963614.2,1981807.1,1981807.1,99849041.08,30299731.86,162191288.94,40547822.24,121643466.7,121643466.7,121643466.7,235.97,-119516155.2,-107029010.4,82402443.86,82402443.86,0.0,0.0,82402443.86,77435445.68,20071850.58,77435445.68,77435445.68,182378190.12,-162306339.54,-15104852.39
rent_gpu_only,mix,2029,12,2029-01,2029-12,1195054905.12,201932732.64,1396987637.88,977891346.48,102024000.0,0.0,317072291.4,79268072.88,237804218.52,237804218.52,0.0,237804218.52,0.0,0.0,0.0,77435445.68,3518661.54,313553629.86,78388407.49,235165222.38,235165222.38,235165222.38,474.03,110958189.9,130775208.11,239252555.16,239252555.16,0.0,0.0,239252555.16,0.0,255237072.97,0.0,0.0,182378190.12,72858882.85,-15984517.81
rent_gpu_only,mix,2030,12,2030-01,2030-12,1386070492.8,208644626.04,1594715118.84,1036564827.24,102024000.0,0.0,456126291.6,114031572.84,342094718.64,342094718.64,0.0,342094718.64,0.0,0.0,0.0,0.0,0.0,456126291.6,114031572.84,342094718.64,342094718.64,342094718.64,533.95,444362033.58,472869926.8,581347273.8,581347273.8,0.0,0.0,581347273.8,0.0,597331791.67,0.0,0.0,182378190.12,414953601.55,-15984517.87
rent_gpu_only,revolver_only,2026,3,2026-10,2026-12,0.0,0.0,0.0,95846400.0,25506000.0,0.0,-121352400.0,0.0,-121352400.0,-121352400.0,0.0,-121352400.0,164467636.38,0.0,164467636.38,0.0,5353877.51,-126706277.51,0.0,-126706277.51,-126706277.51,-126706277.51,24.0,-80901600.0,-121352400.0,37761358.87,37761358.87,0.0,0.0,37761358.87,164467636.37,-126706277.51,164467636.37,164467636.37,0.0,-126706277.51,0.0
rent_gpu_only,revolver_only,2027,12,2027-01,2027-12,433862834.01,202161645.99,636024480.0,651373632.0,102024000.0,0.0,-117373152.0,12671724.0,-130044876.0,-130044876.0,0.0,-130044876.0,231549891.27,0.0,231549891.27,0.0,79151873.61,-196525025.61,0.0,-196525025.61,-196525025.61,-196525025.61,91.3,-256087104.0,-251397276.0,60114500.53,60114500.53,0.0,0.0,60114500.53,396017527.64,-323231303.11,396017527.64,396017527.64,0.0,-323231303.11,-12671724.0
rent_gpu_only,revolver_only,2028,12,2028-01,2028-12,890420598.78,287639484.42,1178060083.2,883545062.4,102024000.0,0.0,192491020.8,48122755.2,144368265.6,144368265.6,0.0,144368265.6,8068450.67,0.0,8068450.67,48907924.38,86406282.59,106084738.21,26521184.55,79563553.65,79563553.65,79563553.65,235.97,-119516155.2,-107029010.4,77237009.83,77237009.83,0.0,0.0,77237009.83,355178053.94,-243667749.46,355178053.94,355178053.94,0.0,-243667749.46,-34273294.65
rent_gpu_only,revolver_only,2029,12,2029-01,2029-12,1195054905.12,201932732.64,1396987637.88,977891346.48,102024000.0,0.0,317072291.4,79268072.88,237804218.52,237804218.52,0.0,237804218.52,0.0,0.0,0.0,166149922.35,62594803.03,254477488.37,63619372.1,190858116.26,190858116.26,190858116.26,474.03,110958189.9,130775208.11,86296502.97,86296502.97,0.0,0.0,86296502.97,189028131.61,-52809633.2,189028131.61,189028131.61,0.0,-52809633.2,-49921995.44
rent_gpu_only,revolver_only,2030,12,2030-01,2030-12,1386070492.8,208644626.04,1594715118.84,1036564827.24,102024000.0,0.0,456126291.6,114031572.84,342094718.64,342094718.64,0.0,342094718.64,0.0,0.0,0.0,189028131.62,13779987.32,442346304.28,110586576.04,331759728.17,331759728.17,331759728.17,533.95,444362033.58,472869926.8,225583102.66,225583102.66,0.0,0.0,225583102.66,0.0,278950095.0,0.0,0.0,0.0,278950095.0,-53366992.34
