Check,Year,Formula,Expected,Actual,Difference,Status,Notes
contact_center_token_share_check,2028,contact_center_annual_tokens/total_annual_tokens,0.2441636793343045,0.2441636793343045,0.0,OK,
workplace_revenue_check,2028,workplace_pricing_base/(1-margin)*availability,1997974118.285041,1997974118.285041,0.0,OK,
contact_center_revenue_check,2028,contact_center_pricing_base/(1-margin)*availability,645421103.2165464,645421103.2165464,0.0,OK,
total_revenue_check,2028,workplace_ai_revenue+contact_center_ai_revenue,2643395221.5015874,2643395221.5015874,0.0,OK,
total_cogs_check,2028,total_datacenter_opex+total_team_opex+annual_gpu_rental_cost,1191035635.65,1191035635.65,0.0,OK,
gross_profit_check,2028,total_revenue-total_cogs,1452359585.8515873,1452359585.8515873,0.0,OK,
ebitda_check,2028,gross_profit-total_sga,1308307112.2515874,1308307112.2515874,0.0,OK,
ebit_check,2028,ebitda-total_depreciation_and_amortization,516796331.7753968,516796331.7753968,0.0,OK,
ebt_check,2028,ebit-interest_expense,304197862.9210437,304197862.9210437,0.0,OK,
profit_tax_check,2028,"max(ebt,0)*tax_rate",76049465.73026092,76049465.73026092,0.0,OK,
net_income_check,2028,ebt-profit_tax,228148397.1907828,228148397.1907828,0.0,OK,
operating_cash_flow_check,2028,net_income+total_depreciation_and_amortization,1019659177.6669734,1019659177.6669734,0.0,OK,
investing_cash_flow_check,2028,-gpu_infra-dc-office-intangible,-3617979200.000001,-3617979200.000001,0.0,OK,
pre_financing_cash_flow_check,2028,operating_cash_flow+investing_cash_flow,-2598320022.333028,-2598320022.333028,0.0,OK,
financing_cash_flow_check,2028,equity_injection+revolver_drawdown-revolver_repayment,2493407910.333028,2493407910.333028,0.0,OK,
net_cash_flow_check,2028,pre_financing_cash_flow+financing_cash_flow,-104912112.0,-104912112.0,0.0,OK,
funding_need_check,2028,"max(-closing_cash_before_funding,0)",2493407910.333028,2493407910.333028,0.0,OK,
minimum_cash_balance_check,2028,(total_team_opex+total_sga+annual_gpu_rental_cost)/12*months_of_fixed_costs,92840328.0,92840328.0,0.0,OK,
revolver_balance_check,2028,opening_revolver_balance+drawdown-repayment,1501657135.5790243,1501657135.5790243,0.0,OK,
interest_expense_check,2028,average_revolver_balance*revolver_interest_rate,212598468.85435313,212598468.85435313,0.0,OK,
closing_cash_after_funding_check,2028,cash_after_drawdown-revolver_repayment,0.0,0.0,0.0,OK,
net_ppe_check,2028,gross_ppe-accumulated_depreciation,2900746788.5714293,2900746788.5714293,0.0,OK,
net_intangible_assets_check,2028,gross_intangible_assets-accumulated_amortization,123025500.0,123025500.0,0.0,OK,
total_assets_check,2028,cash+net_ppe+net_intangible_assets,3023772288.5714293,3023772288.5714293,0.0,OK,
total_equity_check,2028,paid_in_capital+retained_earnings,1522115152.9924054,1522115152.9924054,0.0,OK,
balance_check,2028,0,0.0,-4.76837158203125e-07,-4.76837158203125e-07,OK,
free_cash_flow_check,2028,operating_cash_flow+investing_cash_flow,-2598320022.333028,-2598320022.333028,0.0,OK,
discount_factor_check,2028,1/(1+discount_rate)^year_index,0.5917159763313609,0.5917159763313609,0.0,OK,
discounted_fcf_check,2028,free_cash_flow*discount_factor,-1537467468.8361108,-1537467468.8361108,0.0,OK,
active_users_check,2029,total_employees*activation_rate,20250.0,20250.0,0.0,OK,
workplace_annual_tokens_check,2029,active_users*tokens_per_active_user_per_day*working_days,910318500000.0,910318500000.0,0.0,OK,
automated_interactions_check,2029,interactions_per_day*automation_rate,16591.5,16591.5,0.0,OK,
contact_center_annual_tokens_check,2029,automated_interactions*tokens_per_interaction*calendar_days,153819796500.0,153819796500.0,0.0,OK,
total_annual_tokens_check,2029,workplace_annual_tokens+contact_center_annual_tokens,1064138296500.0,1064138296500.0,0.0,OK,
tokens_per_second_check,2029,total_annual_tokens/(working_days*working_hours*3600),99728.0604757085,99728.0604757085,0.0,OK,
required_gpu_check,2029,ceil(tokens_per_second/(weighted_throughput*utilization)*peak_factor),691,691,0.0,OK,
construction_flag_check,2029,1 if year==construction_start_year else 0,0,0,0,OK,
owned_gpu_check,2029,required_gpu if year>=construction_start_year else 0,691.0,691,0.0,OK,
rented_gpu_check,2029,required_gpu if year<construction_start_year else 0,0,0,0.0,OK,
owned_gpu_increment_check,2029,"owned first year else max(delta,0)",347.0,347,0.0,OK,
gpu_capex_check,2029,owned_gpu_increment*gpu_unit_cost,1041000000.0,1041000000.0,0.0,OK,
gpu_infra_capex_check,2029,gpu_capex*infra_multiplier,1561500000.0,1561500000.0,0.0,OK,
tangible_capex_check,2029,gpu_infra+dc+office,1561500000.0,1561500000.0,0.0,OK,
intangible_capex_check,2029,workplace_ai_ip_value+contact_center_ai_ip_value,0.0,0.0,0.0,OK,
total_capex_check,2029,tangible_capex+intangible_capex,1561500000.0,1561500000.0,0.0,OK,
datacenter_construction_capex_check,2029,total_component_rub*construction_flag,0.0,0.0,0.0,OK,
office_capex_depreciation_check,2029,sum office depreciation components,2038857.142857143,2038857.142857143,0.0,OK,
total_ppe_depreciation_check,2029,gpu_depreciation+datacenter_depreciation+office_capex_depreciation,1037934697.1428573,1037934697.1428573,0.0,OK,
ip_amortization_check,2029,workplace_ai_amortization+contact_center_ai_amortization,61512750.0,61512750.0,0.0,OK,
