table,metric,2026,2027,2028,2029,2030
Funding,equity_injection,288154292.0386905,0.0,1246703955.166514,25007488.15564668,0.0
Funding,revolver_drawdown,288154292.0386905,0.0,1246703955.166514,25007488.15564668,0.0
Funding,revolver_repayment,0.0,33201111.626180112,0.0,0.0,1501687180.979832
Funding,revolver_balance,288154292.0386905,254953180.4125104,1501657135.5790243,1526664623.734671,24977442.754839182
Funding,interest_expense,33900504.945728295,68244160.2523949,212598468.85435313,378400252.62975866,210044763.82168698
Funding,closing_cash_after_funding,0.0,104912112.0,0.0,0.0,105775822.52496004
Balance Sheet,cash,0.0,104912112.0,0.0,0.0,105775822.52496004
Balance Sheet,gross_ppe,25570000.0,25570000.0,3643549200.000001,5205049200.000001,5601049200.000001
Balance Sheet,accumulated_depreciation,6402190.476190477,12804380.952380953,742802411.4285715,1780737108.5714288,2897871805.714286
Balance Sheet,net_ppe,19167809.523809522,12765619.047619047,2900746788.5714293,3424312091.428572,2703177394.285715
Balance Sheet,gross_intangible_assets,307563750.0,307563750.0,307563750.0,307563750.0,307563750.0
Balance Sheet,accumulated_amortization,61512750.0,123025500.0,184538250.0,246051000.0,307563750.0
Balance Sheet,net_intangible_assets,246051000.0,184538250.0,123025500.0,61512750.0,0.0
Balance Sheet,total_assets,265218809.52380952,302215981.04761904,3023772288.5714293,3485824841.428572,2808953216.810675
Balance Sheet,revolver_balance,288154292.0386905,254953180.4125104,1501657135.5790243,1526664623.734671,24977442.754839182
Balance Sheet,total_liabilities,288154292.0386905,254953180.4125104,1501657135.5790243,1526664623.734671,24977442.754839182
Balance Sheet,paid_in_capital,288154292.0386905,288154292.0386905,1534858247.2052045,1559865735.3608513,1559865735.3608513
Balance Sheet,retained_earnings,-311089774.55357146,-240891491.40358186,-12743094.212799072,399294482.3330502,1224110038.694985
Balance Sheet,total_equity,-22935482.514880955,47262800.63510865,1522115152.9924054,1959160217.6939015,2783975774.055836
Balance Sheet,balance_check,-2.9802322387695312e-08,0.0,-4.76837158203125e-07,-4.76837158203125e-07,-4.76837158203125e-07
DCF,free_cash_flow,-576308584.077381,138113223.6261801,-2598320022.333028,-50014976.31129336,1607463003.504792
DCF,discount_rate,0.3,0.3,0.3,0.3,0.3
DCF,discount_factor,1.0,0.7692307692307692,0.5917159763313609,0.4551661356395084,0.35012779664577565
DCF,discounted_fcf,-576308584.077381,106240941.25090776,-1537467468.8361108,-22765123.491712954,562817479.6067336
DCF,cumulative_discounted_fcf,-576308584.077381,-470067642.82647324,-2007535111.662584,-2030300235.154297,-1467482755.5475636
Investment Metrics,npv,-1467482755.5475636,-1467482755.5475636,-1467482755.5475636,-1467482755.5475636,-1467482755.5475636
Investment Metrics,irr,-0.2533565517875077,N/A,N/A,N/A,N/A
Investment Metrics,simple_payback,2027,N/A,N/A,N/A,N/A
Investment Metrics,discounted_payback,Not reached,N/A,N/A,N/A,N/A
Return Metrics,roic,-10.84588992537968,9.508461977950454,0.13361981485548174,0.20320512483658434,0.3634053507937739
Return Metrics,roe,N/A,1.4852755699340339,0.1498890519171654,0.21031336427954453,0.2962725337082592
Return Metrics,roa,-1.1729551727953291,0.2322785277821848,0.07545158015141766,0.11820375242290908,0.2936380540002164
Return Metrics,debt_to_equity,N/A,5.394373100757835,0.9865594811449307,0.7792443976489506,0.008971860670486649
Return Metrics,net_debt,288154292.0386905,150041068.4125104,1501657135.5790243,1526664623.734671,-80798379.77012086
Return Metrics,net_debt_to_ebitda,N/A,0.6530429603838568,1.147786419195324,0.753078717690889,-0.03246940881183487
Return Metrics,interest_coverage,-8.17655282868496,2.371512383191325,2.4308563206513187,2.4518580037313122,6.235808096996214
Scenario Comparison,build_own_dc,-1913238208.1763253,-0.11481083247499763,2030,Not reached,
Scenario Comparison,rent_gpu_only,403842642.3139443,0.5685675319393989,2027,2029,
Scenario Comparison,hybrid,-1467482755.5475636,-0.2533565517875077,2027,Not reached,
Sensitivity Analysis — NPV,weighted_throughput_multiplier=0.75,-2372974161.062781,-2271382348.266076,-2163409057.646913,-2049365837.3518813,-1930656523.75783
