scenario,required_gpu,month_seq,month_id,year,month,workplace_revenue,contact_center_revenue,total_revenue,cogs,sga,depreciation_and_amortization,ebit,profit_tax,net_income,operating_cash_flow,investing_cash_flow,pre_financing_cash_flow,opening_cash_before_funding,closing_cash_before_funding,net_ppe,net_intangible_assets,total_assets_pre_funding,total_liabilities_pre_funding,total_equity_pre_funding
build_own_dc,533.950803,50,2030-11,2030,11,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,419413180.24,448097984.29,539.95,0.0,448098524.24,0.0,448098524.24
build_own_dc,533.950803,51,2030-12,2030,12,116091644.67,17475227.93,133566872.6,86818467.19,8502000.0,0.0,38246405.41,9561601.35,28684804.06,28684804.06,-0.0,28684804.06,448097984.29,476782788.35,539.95,0.0,476783328.3,0.0,476783328.3
rent_gpu_only,23.998097,1,2026-10,2026,10,0.0,0.0,0.0,31948800.0,8502000.0,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-0.0,-40450800.0,0.0,-40450800.0,0.0,0.0,-40450800.0,0.0,-40450800.0
rent_gpu_only,23.998097,2,2026-11,2026,11,0.0,0.0,0.0,31948800.0,8502000.0,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-0.0,-40450800.0,-40450800.0,-80901600.0,0.0,0.0,-80901600.0,0.0,-80901600.0
rent_gpu_only,23.998097,3,2026-12,2026,12,0.0,0.0,0.0,31948800.0,8502000.0,0.0,-40450800.0,0.0,-40450800.0,-40450800.0,-0.0,-40450800.0,-80901600.0,-121352400.0,0.0,0.0,-121352400.0,0.0,-121352400.0
rent_gpu_only,91.300283,4,2027-01,2027,1,0.0,0.0,0.0,41635776.0,8502000.0,0.0,-50137776.0,0.0,-50137776.0,-50137776.0,-0.0,-50137776.0,-121352400.0,-171490176.0,0.0,0.0,-171490176.0,0.0,-171490176.0
rent_gpu_only,91.300283,5,2027-02,2027,2,0.0,0.0,0.0,50459136.0,8502000.0,0.0,-58961136.0,0.0,-58961136.0,-58961136.0,-0.0,-58961136.0,-171490176.0,-230451312.0,0.0,0.0,-230451312.0,0.0,-230451312.0
rent_gpu_only,91.300283,6,2027-03,2027,3,0.0,0.0,0.0,50459136.0,8502000.0,0.0,-58961136.0,0.0,-58961136.0,-58961136.0,-0.0,-58961136.0,-230451312.0,-289412448.0,0.0,0.0,-289412448.0,0.0,-289412448.0
rent_gpu_only,91.300283,7,2027-04,2027,4,44962503.71,20950616.29,65913120.0,52730496.0,8502000.0,0.0,4680624.0,1170156.0,3510468.0,3510468.0,-0.0,3510468.0,-289412448.0,-285901980.0,0.0,0.0,-285901980.0,0.0,-285901980.0
rent_gpu_only,91.300283,8,2027-05,2027,5,44962503.71,20950616.29,65913120.0,52730496.0,8502000.0,0.0,4680624.0,1170156.0,3510468.0,3510468.0,-0.0,3510468.0,-285901980.0,-282391512.0,0.0,0.0,-282391512.0,0.0,-282391512.0
rent_gpu_only,91.300283,9,2027-06,2027,6,45856390.47,21367129.53,67223520.0,53778816.0,8502000.0,0.0,4942704.0,1235676.0,3707028.0,3707028.0,-0.0,3707028.0,-282391512.0,-278684484.0,0.0,0.0,-278684484.0,0.0,-278684484.0
rent_gpu_only,91.300283,10,2027-07,2027,7,48389069.6,22547250.4,70936320.0,56749056.0,8502000.0,0.0,5685264.0,1421316.0,4263948.0,4263948.0,-0.0,4263948.0,-278684484.0,-274420536.0,0.0,0.0,-274420536.0,0.0,-274420536.0
rent_gpu_only,91.300283,11,2027-08,2027,8,48389069.6,22547250.4,70936320.0,56749056.0,8502000.0,0.0,5685264.0,1421316.0,4263948.0,4263948.0,-0.0,4263948.0,-274420536.0,-270156588.0,0.0,0.0,-270156588.0,0.0,-270156588.0
rent_gpu_only,91.300283,12,2027-09,2027,9,50325824.23,23449695.77,73775520.0,59020416.0,8502000.0,0.0,6253104.0,1563276.0,4689828.0,4689828.0,-0.0,4689828.0,-270156588.0,-265466760.0,0.0,0.0,-265466760.0,0.0,-265466760.0
rent_gpu_only,91.300283,13,2027-10,2027,10,50325824.23,23449695.77,73775520.0,59020416.0,8502000.0,0.0,6253104.0,1563276.0,4689828.0,4689828.0,-0.0,4689828.0,-265466760.0,-260776932.0,0.0,0.0,-260776932.0,0.0,-260776932.0
rent_gpu_only,91.300283,14,2027-11,2027,11,50325824.23,23449695.77,73775520.0,59020416.0,8502000.0,0.0,6253104.0,1563276.0,4689828.0,4689828.0,-0.0,4689828.0,-260776932.0,-256087104.0,0.0,0.0,-256087104.0,0.0,-256087104.0
rent_gpu_only,91.300283,15,2027-12,2027,12,50325824.23,23449695.77,73775520.0,59020416.0,8502000.0,0.0,6253104.0,1563276.0,4689828.0,4689828.0,-0.0,4689828.0,-256087104.0,-251397276.0,0.0,0.0,-251397276.0,0.0,-251397276.0
rent_gpu_only,235.968842,16,2028-01,2028,1,71625671.59,23137797.21,94763468.8,71072601.6,8502000.0,0.0,15188867.2,3797216.8,11391650.4,11391650.4,-0.0,11391650.4,-251397276.0,-240005625.6,0.0,0.0,-240005625.6,0.0,-240005625.6
rent_gpu_only,235.968842,17,2028-02,2028,2,71625671.59,23137797.21,94763468.8,71072601.6,8502000.0,0.0,15188867.2,3797216.8,11391650.4,11391650.4,-0.0,11391650.4,-240005625.6,-228613975.2,0.0,0.0,-228613975.2,0.0,-228613975.2
